Best Parameters,Training Score,Test Score,Mean Fit Time,Mean Test Time
"{'classifier__estimator__C': 1, 'classifier__estimator__solver': 'lbfgs', 'vectorizer__max_features': None, 'vectorizer__method': 'count', 'vectorizer__stop_words': 'english'}",0.6075268817204301,0.6666666666666666,0.098620006331691,0.0030175778600904
"{'classifier__max_depth': None, 'classifier__min_samples_split': 2, 'vectorizer__max_features': 500, 'vectorizer__method': 'count', 'vectorizer__stop_words': 'english'}",0.4811827956989247,0.5053763440860215,0.0064600684024669,0.00218401297375
"{'classifier__n_neighbors': 7, 'classifier__weights': 'distance', 'vectorizer__max_features': None, 'vectorizer__method': 'tfidf', 'vectorizer__stop_words': 'english'}",0.5645161290322581,0.6129032258064516,0.0043707898369541,0.0033861608416945
"{'classifier__alpha': 0.1, 'vectorizer__max_features': None, 'vectorizer__method': 'tfidf', 'vectorizer__stop_words': None}",0.5940860215053764,0.6774193548387096,0.006892199869509,0.0026587225772716
"{'C': 1, 'solver': 'lbfgs'}",0.4139784946236559,0.4946236559139785,2.9511360592312283,0.0013990799585978
"{'max_depth': 30, 'min_samples_split': 2}",0.1720430107526881,0.1827956989247312,0.1524620784653557,0.0014370481173197
"{'n_neighbors': 3, 'weights': 'distance'}",0.303763440860215,0.3010752688172043,0.0009175406561957,0.0042979054980807
"{'voting': 'hard', 'weights': (1, 1, 1, 1)}",0.6021505376344086,0.6666666666666666,0.14346097575293645,0.006518661975860596
"{'rf__class_weight': None, 'rf__max_depth': None, 'rf__min_samples_leaf': 1, 'rf__min_samples_split': 10, 'rf__n_estimators': 100}",0.5994623655913979,0.6021505376344086,0.08904027313361934,0.00642089049021403
